origin_norm,mean,count
newcastle,0.09090909090909091,11
bogota,0.18181818181818182,11
karachi,0.1875,16
belgrade,0.2,10
tbilisi,0.23076923076923078,13
antalya,0.23076923076923078,13
tel aviv,0.23809523809523808,21
tehran,0.25,16
athens,0.2553191489361702,47
beirut,0.25925925925925924,27
lisbon,0.2631578947368421,19
miami,0.2647058823529412,34
barcelona,0.2647058823529412,34
bali,0.26666666666666666,15
riyadh,0.2727272727272727,11
moscow,0.2777777777777778,18
birmingham,0.28,50
istanbul,0.2814569536423841,302
hyderabad,0.2857142857142857,14
kochi,0.3,10
cairo,0.3076923076923077,26
newark,0.3125,32
chennai,0.3125,16
male,0.3125,16
berlin,0.3157894736842105,19
atlanta,0.3157894736842105,38
dubai,0.32517482517482516,286
abu dhabi,0.3333333333333333,12
glasgow,0.3333333333333333,15
hamburg,0.3333333333333333,15
cebu,0.3333333333333333,15
zurich,0.3469387755102041,49
chicago,0.3488372093023256,86
rome,0.35294117647058826,34
bucharest,0.35294117647058826,17
bahrain,0.35294117647058826,17
phuket,0.36363636363636365,22
sfo,0.36363636363636365,11
new york,0.36666666666666664,120
dusseldorf,0.3684210526315789,19
oslo,0.3684210526315789,19
montreal,0.3684210526315789,38
mauritius,0.38461538461538464,13
paris cdg,0.391304347826087,46
london gatwick,0.4,10
hanoi,0.4,10
washington,0.4067796610169492,59
paris,0.41379310344827586,232
warsaw,0.42105263157894735,19
kathmandu,0.42105263157894735,19
colombo,0.4230769230769231,26
gatwick,0.42857142857142855,42
dublin,0.42857142857142855,42
london,0.43354430379746833,316
lahore,0.4375,16
dallas,0.44,25
amsterdam,0.4431818181818182,88
brisbane,0.4482758620689655,58
budapest,0.45,20
ankara,0.45454545454545453,11
brussels,0.45454545454545453,33
zagreb,0.45454545454545453,11
prague,0.45454545454545453,22
toronto,0.4583333333333333,72
dhaka,0.46153846153846156,26
sofia,0.46153846153846156,13
mumbai,0.4642857142857143,56
johannesburg,0.4675324675324675,77
lgw,0.47058823529411764,17
san francisco,0.4782608695652174,92
munich,0.4791666666666667,48
madrid,0.48148148148148145,27
ist,0.4838709677419355,31
delhi,0.4883720930232558,43
manchester,0.4921875,128
sydney,0.4965986394557823,147
cph,0.5,10
geneva,0.5,10
kuwait,0.5,24
denpasar,0.5,36
lax,0.5,10
dxb,0.5,32
vienna,0.5,34
los angeles,0.5118110236220472,127
ho chi minh,0.5135135135135135,37
new york jfk,0.5142857142857142,70
auckland,0.5217391304347826,69
copenhagen,0.5263157894736842,38
melbourne,0.5339805825242718,103
houston,0.5357142857142857,56
milan,0.5365853658536586,41
vancouver,0.5370370370370371,54
singapore,0.5376623376623376,385
dallas ft worth,0.5384615384615384,13
kiev,0.5454545454545454,11
heathrow,0.5454545454545454,11
amman,0.5454545454545454,11
boston,0.55,40
perth,0.5522388059701493,67
nairobi,0.5555555555555556,18
venice,0.5555555555555556,18
stockholm,0.5555555555555556,27
cape town,0.5581395348837209,43
bangkok,0.5662251655629139,302
frankfurt,0.5662650602409639,83
tokyo,0.5670103092783505,97
seoul,0.5686274509803921,51
jakarta,0.5714285714285714,77
philadelphia,0.5714285714285714,14
beijing,0.5714285714285714,14
per,0.5714285714285714,14
seattle,0.5806451612903226,31
hong kong,0.5849802371541502,253
haneda,0.6,10
adelaide,0.6086956521739131,23
shanghai,0.6111111111111112,18
paris charles de gaulle,0.6129032258064516,31
ams,0.6153846153846154,13
mel,0.6153846153846154,26
taipei,0.6212121212121212,66
london heathrow,0.6218487394957983,119
kuala lumpur,0.63,100
helsinki,0.6428571428571429,14
hkg,0.6470588235294118,51
mnl,0.65,20
manila,0.6626506024096386,83
del,0.6666666666666666,12
doha,0.6727272727272727,220
sin,0.6727272727272727,55
osaka,0.6875,16
icn,0.6923076923076923,13
kolkata,0.7,10
doh,0.7,20
syd,0.7083333333333334,24
tokyo haneda,0.7105263157894737,38
edinburgh,0.7142857142857143,21
tpe,0.7272727272727273,11
islamabad,0.7333333333333333,15
bangalore,0.7692307692307693,13
muscat,0.8181818181818182,11
tokyo narita,0.8181818181818182,44
incheon,0.8181818181818182,11
