word,score,sentiment
excellent,5.355421816038121,positive
good,5.120405977487484,positive
thank,4.0343375595113535,positive
great,3.638231380293578,positive
friendly,3.5019277775814848,positive
amazing,3.3088790981207223,positive
comfortable,3.244869304130853,positive
helpful,2.9766875548878278,positive
professional,2.8601125947099333,positive
delicious,2.7019670997114282,positive
pleasant,2.5977263789582072,positive
love,2.5611803324669777,positive
smooth,2.557797219447199,positive
attentive,2.395212664822206,positive
nice,2.320140601203013,positive
definitely,2.025669810738364,positive
bit,2.0121382328752304,positive
enjoy,1.9804296546330344,positive
clean,1.963080732457989,positive
crew,1.9268796238102845,positive
bad,5.035354492109443,negative
poor,4.005536295949775,negative
tell,3.514163614150825,negative
terrible,3.3067865654172612,negative
rude,3.0257417938326356,negative
say,2.9627780127074157,negative
uncomfortable,2.935557269533211,negative
disappointing,2.8407111138525933,negative
pay,2.831160668480613,negative
ask,2.3811040070395473,negative
hour,2.2872763596603574,negative
lack,2.188017379688958,negative
disappointed,2.0266042745001647,negative
water,1.9250576148998118,negative
happen,1.9068184741433059,negative
cost,1.9036306388064757,negative
expect,1.8954666211037805,negative
average,1.8727398461642244,negative
ticket,1.8498758251522427,negative
dirty,1.8135658679909226,negative
